repo1,repo2,Similarity(No. 1),Similarity(No. 2)
pennersr/django-allauth,timofurrer/try,0.759,0.786
google/google-api-python-client,burnash/gspread,0.261,0.583
cobrateam/splinter,ibayer/fastFM,0.902,0.816
lxneng/alipay,lxneng/alipay,0.436,0.877
lorien/grab,nose-devs/nose2,0.057,0.195
chriskiehl/Gooey,PySimpleGUI/PySimpleGUI,0.046,0.086
ibayer/fastFM,NicolasHug/Surprise,0.687,0.646
rkern/line_profiler,burnash/gspread,0.639,0.506
pytoolz/toolz,pynamodb/PynamoDB,0.18,0.659
nficano/python-lambda,nficano/python-lambda,0.1,0.726
cdgriffith/Box,DamnWidget/anaconda,0.097,0.579
saltstack/salt,xonsh/xonsh,0.175,0.43
isnowfy/snownlp,isnowfy/snownlp,0.245,0.096
pennersr/django-allauth,idan/oauthlib,0.058,0.053
DiffSK/configobj,pwaller/pyfiglet,0.209,0.682
ionelmc/python-manhole,cobrateam/splinter,0.611,0.824
jaraco/path.py,getpelican/pelican,0.907,0.812
zostera/django-bootstrap4,rsalmei/alive-progress,0.972,0.737
napalm-automation/napalm,mininet/mininet,0.845,0.288
NicolasHug/Surprise,Suor/django-cacheops,0.774,0.271
spyoungtech/grequests,encode/httpx,0.187,0.112
emirozer/fake2db,joke2k/faker,0.179,0.094
BVLC/caffe,BVLC/caffe,0.182,0.041
noxrepo/pox,khamidou/lptrace,0.342,0.069
jet-admin/jet-bridge,unoconv/unoconv,0.697,0.709
lincolnloop/python-qrcode,google/pyringe,0.765,0.819
jiaaro/pydub,librosa/librosa,0.324,0.262
MagicStack/uvloop,python/black,0.261,0.623
paramiko/paramiko,metawilm/cl-python,0.976,0.951
mozillazg/python-pinyin,maxmind/geoip-api-python,0.786,0.882
timofurrer/try,gunnery/gunnery,0.627,0.436
pykong/copier,gleitz/howdoi,0.299,0.353
pykong/copier,sloria/doitlive,0.105,0.232
Fizzadar/pyinfra,gotcha/ipdb,0.107,0.305
joke2k/faker,faif/python-patterns,0.312,0.107
keleshev/schema,schematics/schematics,0.141,0.104
awesto/django-shop,dmlc/mxnet,0.771,0.339
benhamner/Metrics,dmlc/xgboost,0.546,0.281
ansible/ansible,python-trio/trio,0.341,0.072
mitsuhiko/pluginbase,AtsushiSakai/PythonRobotics,0.828,0.099
ionelmc/python-hunter,khamidou/lptrace,0.11,0.129
miracle2k/flask-assets,miracle2k/flask-assets,0.082,0.033
carlospalol/money,skorokithakis/shortuuid,0.696,0.297
gabrielfalcao/HTTPretty,spulec/freezegun,0.467,0.275
fabianp/memory_profiler,lepture/mistune,0.095,0.562
sebastien/cuisine,fabric/fabric,0.029,0.474
michaelhelmick/lassie,gleitz/howdoi,0.373,0.758
mooz/percol,selwin/python-user-agents,0.215,0.82
altair-viz/altair,pytoolz/cytoolz,0.076,0.382
audreyr/cookiecutter,dbcli/pgcli,0.108,0.308
patx/pickledb,patx/pickledb,0.056,0.124
daboth/pagan,libvips/pyvips,0.049,0.056
