repo1,repo2,repo_sim (RepoSim4Py),repo_sim (No. 1),repo_sim (No. 2),repo_sim (No. 3)
lepture/authlib,idan/oauthlib,0.85,0.89,0.95,0.96
idan/oauthlib,evonove/django-oauth-toolkit,0.84,0.93,0.92,0.96
lepture/authlib,evonove/django-oauth-toolkit,0.80,0.87,0.92,0.88
Suor/funcy,przemyslawjanpietrzak/pyMonet,0.71,0.51,0.69,0.18
billpmurphy/hask,pytoolz/toolz,0.70,0.45,0.76,0.43
pytoolz/toolz,Suor/funcy,0.67,0.74,0.59,0.79
billpmurphy/hask,przemyslawjanpietrzak/pyMonet,0.66,0.61,0.76,0.60
billpmurphy/hask,Suor/funcy,0.62,0.63,0.60,0.24
pytoolz/toolz,przemyslawjanpietrzak/pyMonet,0.52,0.41,0.84,0.42
lepture/authlib,selwin/python-user-agents,0.29,0.07,0.15,0.33
idan/oauthlib,selwin/python-user-agents,0.28,0.03,0.13,0.47
evonove/django-oauth-toolkit,SmileyChris/django-countries,0.26,0.07,0.04,0.28
evonove/django-oauth-toolkit,selwin/python-user-agents,0.26,0.04,0.10,0.35
SmileyChris/django-countries,django-compressor/django-compressor,0.26,0.25,0.04,0.01
selwin/python-user-agents,Suor/funcy,0.24,0.39,0.39,0.18
evonove/django-oauth-toolkit,django-compressor/django-compressor,0.22,0.03,0.16,0.02
SmileyChris/django-countries,pytoolz/toolz,0.21,0.07,0.86,0.38
SmileyChris/django-countries,przemyslawjanpietrzak/pyMonet,0.21,0.35,0.88,0.36
django-compressor/django-compressor,pytoolz/toolz,0.21,0.48,0.05,0.05
SmileyChris/django-countries,Suor/funcy,0.19,0.10,0.79,0.19
selwin/python-user-agents,przemyslawjanpietrzak/pyMonet,0.19,0.73,0.75,0.45
selwin/python-user-agents,SmileyChris/django-countries,0.19,0.70,0.71,0.65
lepture/authlib,SmileyChris/django-countries,0.19,0.14,0.07,0.28
evonove/django-oauth-toolkit,przemyslawjanpietrzak/pyMonet,0.19,0.03,0.05,0.12
evonove/django-oauth-toolkit,Suor/funcy,0.18,0.01,0.03,0.04
idan/oauthlib,SmileyChris/django-countries,0.18,0.06,0.06,0.44
idan/oauthlib,Suor/funcy,0.17,0.01,0.05,0.07
lepture/authlib,przemyslawjanpietrzak/pyMonet,0.17,0.04,0.09,0.06
lepture/authlib,Suor/funcy,0.17,0.01,0.06,0.04
idan/oauthlib,przemyslawjanpietrzak/pyMonet,0.16,0.02,0.08,0.15
selwin/python-user-agents,pytoolz/toolz,0.16,0.32,0.70,0.30
idan/oauthlib,pytoolz/toolz,0.16,0.01,0.05,0.10
SmileyChris/django-countries,billpmurphy/hask,0.16,0.20,0.87,0.28
django-compressor/django-compressor,Suor/funcy,0.16,0.46,0.02,0.06
idan/oauthlib,django-compressor/django-compressor,0.14,0.02,0.13,0.04
evonove/django-oauth-toolkit,pytoolz/toolz,0.14,0.01,0.03,0.08
selwin/python-user-agents,django-compressor/django-compressor,0.13,0.62,0.20,0.04
lepture/authlib,pytoolz/toolz,0.11,0.02,0.05,0.04
django-compressor/django-compressor,przemyslawjanpietrzak/pyMonet,0.11,0.50,0.05,0.18
lepture/authlib,django-compressor/django-compressor,0.10,0.03,0.14,0.01
selwin/python-user-agents,billpmurphy/hask,0.09,0.56,0.61,0.33
idan/oauthlib,billpmurphy/hask,0.09,0.01,0.03,0.04
django-compressor/django-compressor,billpmurphy/hask,0.08,0.38,0.04,0.07
lepture/authlib,billpmurphy/hask,0.05,0.02,0.03,0.02
evonove/django-oauth-toolkit,billpmurphy/hask,0.05,0.01,0.02,0.03
