repo1,repo2,topics1,topics2,model,strategy,repo_sim
lepture/authlib,idan/oauthlib,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.9538457989692688
idan/oauthlib,evonove/django-oauth-toolkit,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['django', 'oauth2', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.9208961725234985
lepture/authlib,evonove/django-oauth-toolkit,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['django', 'oauth2', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.9201412200927734
SmileyChris/django-countries,przemyslawjanpietrzak/pyMonet,"['country-codes', 'django', 'python']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.8821644186973572
SmileyChris/django-countries,billpmurphy/hask,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.867218017578125
SmileyChris/django-countries,pytoolz/toolz,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.8550741076469421
pytoolz/toolz,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.8385582566261292
SmileyChris/django-countries,Suor/funcy,"['country-codes', 'django', 'python']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.7912203073501587
billpmurphy/hask,pytoolz/toolz,[],[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.7645024061203003
billpmurphy/hask,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.7630438208580017
selwin/python-user-agents,przemyslawjanpietrzak/pyMonet,"['browser-detection', 'python', 'user-agent-detection']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.7482030391693115
selwin/python-user-agents,SmileyChris/django-countries,"['browser-detection', 'python', 'user-agent-detection']","['country-codes', 'django', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.7125961780548096
selwin/python-user-agents,pytoolz/toolz,"['browser-detection', 'python', 'user-agent-detection']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.7036877274513245
Suor/funcy,przemyslawjanpietrzak/pyMonet,"['functional-programming', 'python', 'utilities']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.6901261806488037
selwin/python-user-agents,billpmurphy/hask,"['browser-detection', 'python', 'user-agent-detection']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.6142705082893372
billpmurphy/hask,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.6042436361312866
pytoolz/toolz,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.5859763026237488
selwin/python-user-agents,Suor/funcy,"['browser-detection', 'python', 'user-agent-detection']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.3944270610809326
selwin/python-user-agents,django-compressor/django-compressor,"['browser-detection', 'python', 'user-agent-detection']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.20391802489757538
evonove/django-oauth-toolkit,django-compressor/django-compressor,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.1601274609565735
lepture/authlib,selwin/python-user-agents,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.15286453068256378
lepture/authlib,django-compressor/django-compressor,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.13904446363449097
idan/oauthlib,selwin/python-user-agents,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.12939399480819702
idan/oauthlib,django-compressor/django-compressor,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.12543240189552307
evonove/django-oauth-toolkit,selwin/python-user-agents,"['django', 'oauth2', 'python']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.09544310718774796
lepture/authlib,przemyslawjanpietrzak/pyMonet,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.08925770223140717
