repo1,repo2,topics1,topics2,model,strategy,repo_sim
lepture/authlib,idan/oauthlib,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.9635876417160034
idan/oauthlib,evonove/django-oauth-toolkit,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['django', 'oauth2', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.9626932144165039
lepture/authlib,evonove/django-oauth-toolkit,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['django', 'oauth2', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.876563549041748
pytoolz/toolz,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.7855900526046753
selwin/python-user-agents,SmileyChris/django-countries,"['browser-detection', 'python', 'user-agent-detection']","['country-codes', 'django', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.6465164422988892
billpmurphy/hask,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.5966001152992249
idan/oauthlib,selwin/python-user-agents,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.47083523869514465
selwin/python-user-agents,przemyslawjanpietrzak/pyMonet,"['browser-detection', 'python', 'user-agent-detection']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.4536619186401367
idan/oauthlib,SmileyChris/django-countries,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['country-codes', 'django', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.4423478841781616
billpmurphy/hask,pytoolz/toolz,[],[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.42588376998901367
pytoolz/toolz,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.42175590991973877
SmileyChris/django-countries,pytoolz/toolz,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.3751586377620697
SmileyChris/django-countries,przemyslawjanpietrzak/pyMonet,"['country-codes', 'django', 'python']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.3592241406440735
evonove/django-oauth-toolkit,selwin/python-user-agents,"['django', 'oauth2', 'python']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.3494749367237091
lepture/authlib,selwin/python-user-agents,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.3343740701675415
selwin/python-user-agents,billpmurphy/hask,"['browser-detection', 'python', 'user-agent-detection']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.32799896597862244
selwin/python-user-agents,pytoolz/toolz,"['browser-detection', 'python', 'user-agent-detection']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.30439090728759766
lepture/authlib,SmileyChris/django-countries,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['country-codes', 'django', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.2815878987312317
evonove/django-oauth-toolkit,SmileyChris/django-countries,"['django', 'oauth2', 'python']","['country-codes', 'django', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.28025299310684204
SmileyChris/django-countries,billpmurphy/hask,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.27977466583251953
billpmurphy/hask,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.23715141415596008
SmileyChris/django-countries,Suor/funcy,"['country-codes', 'django', 'python']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.1851462423801422
Suor/funcy,przemyslawjanpietrzak/pyMonet,"['functional-programming', 'python', 'utilities']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.1847807914018631
django-compressor/django-compressor,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.17809619009494781
selwin/python-user-agents,Suor/funcy,"['browser-detection', 'python', 'user-agent-detection']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.17734578251838684
